URL,noun,noun_rough_eng,sense1,machine_translation1,sense2,machine_translation2,sense3,machine_translation3,sense4,machine_translation4,sense5,machine_translation5,sense6,machine_translation6,sense7,machine_translation7,sense8,machine_translation8,sense9,machine_translation9,sense10,machine_translation10,sense11,machine_translation11
,159,,159,,94,,46,,26,,16,,12,,6,,4,,,,,,,
https://el-sozduk.kg/osumduk-7/,өсүмдүк,plant,Абанын жана жер кыртышынын органикалык эмес заттары менен азыктанып органикалык заттарды пайда кылуучу жана кандайдыр бир орунда өсүүчү организм.,An organism that grows in any location and produces organic matter by feeding on inorganic substances in the air and soil.,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://el-sozduk.kg/onuguu-7/,өнүгүү,to develop,бир нерсенин бара-бара башка (өзгөчө өнүккөн же жетилген) баскычка өтүү процесси,the process of something gradually moving to another (especially advanced or mature) stage,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://el-sozduk.kg/olum-12/,өлүм,death,"Ажал; өмүрдүн, жашоонун бүтүшү. ","Death; the end of life, the end of existence.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эстелик,эстелик,monument,"Көрүнүктүү адамдарга курулган скульптуралык же архитектуралык имарат, сүрөт ж. б.","A sculptural or architectural building, painting, etc. dedicated to prominent people.","Өткөндөгү материалдык маданияттын, эски жазуулардын, чыгармалардын ж. б. сакталып келаткан үлгүлөрү, калдыктары.","Preserved examples and remains of past material culture, ancient writings, works, etc.","Эстөө, эсте сактоо, унутпай ойго алып жүрүү үчүн сактала турган ар кандай нерселер, окуялар, эскерме.","Various things, events, and memories that are kept in order to remember, to keep in mind, and to carry in mind without forgetting.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эсте,эсте,remember,"Мурда оюнда болгон, көргөн-билген, сезимде бар нерселерди, окуяларды ж. б. ойго келтирүү, эске салуу, эске түшүрүү.","To recall, to remind, to recall things, events, etc. that were previously in one's mind, seen, known, felt.","Уйкусу чала болгондо, уйкусураганда, чарчаганда, талыкшыганда ж. б. эрксизден оозду кең ачып, терең дем алуу.","When you are sleep deprived, drowsy, tired, stressed, etc., you involuntarily open your mouth wide and take a deep breath.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эсеп,эсеп,account,"Ар кандай нерселердин саналып, саны такталып чыгарылган жалпы жыйынтыгы, канча экендигин көрсөткөн жалпы саны.","The total number of various things that have been counted and quantified, the total result, indicating how many there are.",Арифметика.,Arithmetic.,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эс,эс,memory,"Акыл, аң-сезим.","Mind, consciousness.","Ойдо сактоо, унутпоо жөндөмдүүлүгү.","The ability to remember, not to forget.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эркиндик,эркиндик,freedom,"Боштондук, көз каранды эместик, эркин, тең укуктуулук.","Freedom, independence, liberty, equality.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эркек,эркек,man,"Адамдын, айбандын, жаныбардын ж. б. эр жыныстуусу.","The masculine gender of a person, animal, etc.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эреже,эреже,rule,"Жыгач уста тактайга так, тилке, белги түшүрүп алуучу жип.","A string with which a carpenter can mark, strip, or mark a board.","Белгилүү негизге таянган жобо, шарт, тартип.","A regulation, condition, order based on a certain basis.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эне,эне,mother,"Баланы төрөгөн жана тарбиялап өстүргөн апасы, аял (баласына карата).","A mother, a woman who gives birth to and raises a child (in relation to her child).","Төлдөгөн, тууган ургаачы жаныбар.",A female animal that has given birth.,"Төрөгөн апасына, аялга жана өзүнөн улуу, улгайган аялдарга, кемпирлерге айтылуучу сөз.","A word used to address a mother who has given birth, a woman, and older women and old women.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://el-sozduk.kg/emgek-aky-3/,эмгек акы,salary,"Иштеген ишине, аткарган жумушуна ылайык төлөнүүчү акча, акы.","Money, salary, paid according to the work done.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эмгек,эмгек,work,"Акыл-эстин, күч кубаттын жумшалышы аркылуу белгилүү максатка ылайык жүргүзүлгөн иш аракети, жумуш, адамдын ишмердүүлүк сапатынын белгиси.","Work is an action carried out with a specific goal through the use of mind and energy, a sign of the quality of human activity.","Жазылган, иштелген же басып чыгарылган чыгарма, изилдөө иши, китеп.","A written, edited, or printed work, research work, book.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=эл,эл,people,"Мамлекеттин, өлкөнүн калайык калкы.","The people of the state, the country.","Улут, белгилүү бир тилде сүйлөгөн калк.",A nation is a population that speaks a particular language.,Өлкөнүн негизги массасы (таптык коомдо бийлик жүргүзүүчү таптын эзүүсүндө болгон калк).,The main mass of the country (the population oppressed by the ruling class in a class society).,"Адам, киши.","Man, person.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=экономика,экономика,economy,"Белгилүү бир коомдук түзүлүштүн, коомдогу өндүргүч күчтөрдүн өнүгүшүнө ылайык келген өндүрүштүк мамилелеринин жалпы жыйындысы.",The general set of production relations that correspond to the development of a particular social structure and the productive forces in society.,"Эл чарбасынын кандайдыр бир тармагынын абалы, түзүлүшү, уюштурулушу.","The state, structure, and organization of any sector of the national economy.","Эл чарбасынын материалдык, финансалык жактарын изилдей турган илим тармагы.",A branch of science that studies the material and financial aspects of the national economy.,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=шарт,шарт,condition,Талап.,Requirement.,"Бир нерсеге таасир кылуучу, жалпы ал-абалга таасирин тийгизүүчү жагдай, кырдаал, мүмкүндүк.","A situation, circumstance, opportunity that influences something, has an impact on the general situation.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://el-sozduk.kg/shayloochu-9/,шайлоочу,voter,"Шайлоого катышуучу, шайлоого укугу бар адам.","A person who is eligible to vote, a participant in an election.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=шайлоо,шайлоо,election,"Шайлануучуларды көпчүлүктүн (шайлоочулардын) добушуна коюу аркылуу депутаттыкка же башка кызматтарга өткөрүү, бекитүү жолу.",A method of appointing or approving candidates to a position of deputy or other office by placing them under the vote of the majority (voters).,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=шаар,шаар,the city,"Административдик, өнөр жай, соода жана маданий борбору, кыштакка караганда калк көп орношкон ири пункт.","An administrative, industrial, commercial, and cultural center, a large settlement with a larger population than a village.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=чек+ара,чек,check,"Жанаша турган мамлекеттердин же кандайдыр бир ээликтеги жерди территориялык жактан бири-биринен бөлүп туруучу сызык, тилке, эки чектин аралыгы.","A line, strip, or boundary that separates adjacent states or any land holdings from each other territorially.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=чек+ара,чек ара,border,"Жанаша турган мамлекеттердин же кандайдыр бир ээликтеги жерди территориялык жактан бири-биринен бөлүп туруучу сызык, тилке, эки чектин аралыгы.","A line, strip, or boundary that separates adjacent states or any land holdings from each other territorially.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=фракция,фракция,faction,"Саясий партиянын жалпы линиясына макул болбогон, жактабаган, андан өзгөчөлөнгөн көз карашта болуп, партияга каршы күрөшкөн, бирок анын катарында болгон өзүнчө топ, партиядагы негизги массадан өзүнчө бөлүнүп алган группировка.","A separate group, a group that separates itself from the main mass in the party, that does not agree with or support the general line of a political party, that has a different point of view, and that fights against the party, but is still within its ranks.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=үй,үй,the house,Адамдар тура турган турак жай.,A place where people can live.,Имарат.,Building.,"Ар түрдүү коомдук керектөөлөрдү тейлөөчү жай, мекеме.",A place or institution that serves various public needs.,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=уюм,уюм,organization,Коомдук бирикме же мамлекеттик мекеме.,Public association or government institution.,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=уруксат,уруксат,permission,"Кандайдыр бир ишти иштөөгө, жөнөөгө ж. б. макулдук.","Consent to do something, to go on a trip, etc.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=уй,уй,cow,"Төрт түлүк малдын бир түрүнө кирүүчү музоо, торпок, кунажын, өгүз ж. б. жалпы аты.","The common name for a type of livestock, including calf, heifer, ox, etc.","Ушул малдын төл берген, саала турган ургаачысы.",The female of this animal has given birth and is ready to be milked.,Он эки жылдык эски жыл эсебинин экинчи жылы.,The second year of the twelve-year old calendar.,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=тынчтык,тынчтык,peace,"Жым-жырттык, ызычуу жоктук; бейкуттук, согуш жок тынч абал, чыр-чатаксыз тынч абалда жашагандык.","Silence, the absence of noise; peace, a peaceful state without war, living in peace without conflict.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=түзүлүш,түзүлүш,structure,"Түзүлүү системасы, биригиш ыгы, жолу.","The system of formation, the way of union, the way.","Коомдун, мамлекеттин ж. б. башкаруу системасы, жол-жобосу, тартиби.","The system, procedure, order of governance of a society, state, etc.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=туу,туу,birth,"Аскер бөлүгүнүн, бирикмесинин, мамлекеттин, кандайдыр бир уюмдун ж. б. эмблемасы катарында эсептелүүчү, белгилүү бир же бир нече түстүү, бетинде жазуусу, кооздуктары ж. б. бар, жыгачка бекитилген кездеме.","A cloth attached to a piece of wood, in one or more specific colors, with writing, decorations, etc., considered the emblem of a military unit, association, state, organization, etc.","Кандайдыр бир топтун, уюмдун ж. б. бирдиктүү аракетинин негизи болгон жетекчи идеясы.","The idea of ​​a leader that is the basis for the unified action of any group, organization, etc.",Жаңыруу (ай жөнүндө).,Update (about the month).,"Процент өсүү, пайда, үстөк кошуу.","Percentage growth, profit, and interest.",Туулуу.,Birthday.,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=турмуш,турмуш,life,Жашоо шарттары. күндөлүк тиричилик.,Living conditions. Daily life.,Бизди курчап турган реалдуу чындык; тиричилик.,The real reality that surrounds us; life.,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=топ,топ,group,"Катуу бир нерсеге урулганда серпилип ыргып кетүүчү, ичине аба толтурулган же туташ тоголоктолуп көбүнчө резинадан жасалган шар.","A ball, usually made of rubber, that bounces when hit by a hard object, is filled with air or rolled up tightly.",Бозону сүзүп алгандан кийинки калган шак.,The moment after hitting the Bozo.,"Адамдардын, айбандардын, өсүмдүктөрдүн жана башка ар түрдүү нерселердин бири-бирине жакын же чогуу турган жыйындысы, группа.","A group of people, animals, plants, and other miscellaneous things that live close to or together.",Такталап түрүлгөн кездеменин түрмөгү.,A roll of tightly rolled fabric.,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=токой,токой,forest,"Аягы менен турган көп дарак, бак-дарак көп жана калың чыккан чоң аянт.","A large area with many trees, bushes, and thick vegetation.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=тил,тил,language,"Омурткалуу айбандардын жана адамдардын оозунун ичиндеги тамакты чайнап жутууга жардам берүүчү, анын даамын аныктоочу, ал эми адамдарда, андан тышкары, табыш чыгарууга катышуучу орган.","An organ in the mouth of vertebrates and humans that helps chew and swallow food, determines its taste, and in humans, also participates in excretion.","Сүйлөөгө, өзүнүн оюн айтып түшүндүрүүгө болгон жөндөмдүүлүк, речь.","The ability to speak, to express oneself, to explain one's thoughts.","Коомдо байланыш-катыш жасоонун, пикир алышуунун куралы болгон тыбыштык жана лексико-грамматикалык каражаттардын системасы.",A system of phonetic and lexical-grammatical means that are a tool for communication and interaction in society.,"Жазуучунун, ар кандай чыгарманын, илимий эмгектердин, публицистиканын ж. б. түрлүүчө белгилер менен мүнөздөлүүчү, өз ара айырмалануучу стили, речь.","The style of a writer, of various works, scientific works, journalism, etc., characterized by various features, distinguishable from each other, speech.",Керектүү маалымат алууга мүмкүн болгон туткун.,A prisoner who can obtain the necessary information.,"Сөгүү, сөгүп тилдеп айтылган сөз. ","A curse word, a word spoken in a cursing manner.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=технология,технология,technology,"Белгилүү бир өндүрүш тармагында материалдарды, буюмдарды иштетүү жолдорунун процесстеринин жыйындысы; өндүрүштүн ушундай ыктары, жолдору жөнүндөгү билимдердин жыйындысы.",A set of processes for processing materials and products in a particular industry; a set of knowledge about such methods and methods of production.,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=тартыш,тартыш,dispute,"Белгилүү бир маселе жөнүндө болгон пикир келишпөөчүлүк, талаш.",A disagreement or dispute about a specific issue.,"Жетиштүү эмес, кемчил.","Insufficient, defective.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=тармак,тармак,network,"Илимдин, өндүрүштүн, кесипчиликтин ж. б. белгилүү бир багыт, өзгөчөлүк боюнча кеткен, өзүнчө айырмалуу белгилери болгон бөлүмү, тарамы.","A branch or branch of science, industry, profession, etc. that has a specific direction or specialty and has its own distinctive features.","Бүтүн нерсенин айрым бөлүгү, айрым салаасы.","Some part of the whole, some branch.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=талаш,талаш,dispute,"Бирдей болуп чыкпаган, ар түрдүү ойлордон, пикирлерден же келише албоочулуктан пайда болгон айтыш, тартыш.","A disagreement or dispute that arises from differing thoughts, opinions, or disagreements.","Ачык-айкын эмес, чечиле элек.","It is not clear, it has not been resolved.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=тагдыр,тагдыр,fate,"Турмушта адамдын эркинен тышкары боло турган, башынан өткөрө турган окуя; жазмыш.",An event in life that occurs and is experienced beyond a person's control; fate.,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=табият,табият,nature,"Жер бетиндеги бардык жаратылыш, бизди курчап турган материалдык дүйнө, айлана-чөйрө.","All nature on Earth, the material world around us, the environment.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
https://tamgasoft.kg/dict/index.php?lfrom=kg&lto=kg&word=сыйлык,сыйлык,award,"Кадырлоо, урматтоо эмгегине, талантына баа берүү максатында акчалай, буюмдай же орден, медаль ж. б. түрүндө берилүүчү сый, белек.","A reward or gift given in the form of money, objects, or an order, medal, etc., in order to recognize and appreciate work or talent.",,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!
