item_index,eng_sense,kyr_lemma,eng_gloss,selected_option
0,support.n.01,колдоо,the activity of providing for or maintaining by supplying with money or necessities,"1. ""the act of providing, caring for, or looking after someone by providing them with money or necessary things"""
1,country.n.02,мамлекет,the territory occupied by a nation,-1. Нет верного варианта
2,religion.n.02,дин,an institution to express belief in a divine power,"1. ""A belief that affirms the existence of God, that the world was created and is governed by God, and that a specific system of rituals, rules, and regulations has been developed around this belief."""
3,content.n.01,мазмун,everything that is included in a collection and that is held or included in something,"1. ""The inner essence of something; the main idea being expressed or conveyed."""
4,policy.n.02,саясат,a line of argument rationalizing the course of action of a government,"1. ""In governance and international relations, the work of a state authority, party, or a certain social group in accordance with its class goals and interests."""
5,work.n.01,эмгек,activity directed toward making or doing something,"1. ""Work is an action carried out with a specific goal through the use of mind and energy, a sign of the quality of human activity."""
6,profession.n.02,кесип,an occupation requiring special education (especially in the liberal arts or sciences),"1. ""A profession is a specific field of work or activity that is developing in a specific direction, requiring expertise and skill."""
7,day.n.01,күн,time for Earth to make a complete rotation on its axis,"3. ""A day is a period of time that includes 24 hours."""
8,draft.n.05,долбоор,any of the various versions in the development of a written work,"2. ""A draft of a document, a tentative text that may be amended or modified later."""
9,safety.n.01,коопсуздук,the state of being certain that adverse effects will not be caused by some agent under defined conditions,"1. ""Fearlessness, lack of doubt, lack of suspicion. Not being afraid, not being dangerous."""
10,rule.n.01,эреже,a principle or condition that customarily governs behavior,"2. ""A regulation, condition, order based on a certain basis."""
11,monument.n.02,эстелик,an important site that is marked and preserved as public property,"1. ""A sculptural or architectural building, painting, etc. dedicated to prominent people."""
12,air.n.02,аба,the region above the ground,"3. ""A gas-like substance that makes up the Earth's atmosphere, usually consisting of a combination of nitrogen and oxygen."""
13,use.n.01,пайдалануу,the act of using,"1. ""the act of using something or the state of being used for a purpose"""
14,conversation.n.01,сүйлөшүү,the use of speech for informal exchange of views or ideas or information etc.,"1. ""A conversation between two or more people, especially informal ones, in which news and ideas are exchanged."""
15,resource.n.01,ресурс,available source of wealth; a new or reserve supply that can be drawn upon when needed,"1. ""A source of something; a resource."""
16,man.n.03,адам,the generic use of the word to refer to any human being,"1. ""A living being, a person, who has the ability to think and speak, who can develop tools of production and use them in social labor."""
17,illness.n.01,оору,impairment of normal physiological function affecting part or all of an organism,"1. ""Disease, sickness, and illness."""
18,opinion.n.02,пикир,a message expressing a belief about something; the expression of a belief that is held with confidence but not substantiated by positive knowledge or proof,"1. ""An opinion, a point of view, a statement expressing one's point of view on something."""
19,child.n.01,бала,a young person of either sex,"1. ""A young boy or girl who has not yet reached puberty; generally a boy or girl (in relation to their parents)."""
20,nature.n.03,табият,the natural physical world including plants and animals and landscapes etc.,"1. ""All nature on Earth, the material world around us, the environment."""
21,body_of_water.n.01,суу,the part of the earth's surface covered with water (such as a river or lake or ocean),"2. ""Stream, river."""
22,father.n.01,ата,a male parent (also used as a term of address to your father),"1. ""A man who has children (in relation to his children)."""
23,beginning.n.04,булак,"the place where something begins, where it springs into being","2. ""The place of origin, source, foundation of something."""
24,condition.n.01,шарт,a state at a particular time,"2. ""A situation, circumstance, opportunity that influences something, has an impact on the general situation."""
25,crime.n.01,кылмыш,(criminal law) an act punishable by law; usually considered an evil act,"1. ""An act committed against the law, a negative act, a sin, a crime."""
26,service.n.04,кызмат,a company or agency that performs a public service; subject to government regulation,-1. Нет верного варианта
27,sport.n.01,спорт,an active diversion requiring physical exertion and competition,"1. ""Exercises and trainings performed to strengthen the body (gymnastics, wrestling, tourism, etc.)."""
28,direction.n.03,багыт,a general course along which something has a tendency to develop,-1. Нет верного варианта
29,health.n.02,ден соолук,the general condition of body and mind,"1. ""Health."""
30,parent.n.01,эне,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian,"1. ""A mother, a woman who gives birth to and raises a child (in relation to her child)."""
31,power.n.05,күч,one possessing or exercising power or influence or authority,"5. ""Authority, power, influence."""
32,class.n.01,категория,a collection of things sharing a common attribute,"1. ""a class or group of people or things considered to have certain common characteristics"""
33,member.n.01,мүчө,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization),"3. ""A person who is part of an organization, society, or group of people."""
34,defense.n.01,коргоо,(military) military action or resources protecting a country against potential enemies,-1. Нет верного варианта
35,work.n.01,иш,activity directed toward making or doing something,"1. ""Work, laborious work; creative work."""
36,childhood.n.01,балалык,the time of person's life when they are a child,"1. ""Childhood, childhood."""
37,punishment.n.01,жаза,the act of punishing,"1. ""The penalty for a crime, the measure applied for a crime committed."""
38,action.n.01,аракет,something done (usually as opposed to something said),"1. ""A movement, action, trick, preparation, care made to do something."""
39,president.n.03,президент,the chief executive of a republic,"1. ""The elected head of the republican state, as well as the head of some major scientific institutions."""
40,memory.n.01,эс,something that is remembered,-1. Нет верного варианта
41,wrong.n.02,зыян,any harm or injury resulting from a violation of a legal right,"1. ""The consequence, damage, disruption, loss, etc. caused by something or an action, the adverse effect."""
42,act.n.01,иш,a legal document codifying the result of deliberations of a committee or society or legislative body,-1. Нет верного варианта
43,fauna.n.01,жаныбар,all the animal life in a particular region or period,"1. ""Various animals, living creatures, and representatives of the animal world in general."""
44,age.n.01,жаш,how long something has existed,"2. ""The measure of a person's life span in years, life expectancy."""
45,life.n.01,өмүр,a characteristic state or mode of living,"2. ""Life, livelihood."""
46,representative.n.01,өкүл,a person who represents others,"1. ""A person who represents or is sent by a specific state, institution, group, or person."""
47,passport.n.02,паспорт,a document issued by a country to a citizen allowing that person to travel abroad and re-enter the home country,"1. ""A document certifying a person's identity and citizenship."""
48,opinion.n.01,пикир,a personal belief or judgment that is not founded on proof or certainty,"1. ""An opinion, a point of view, a statement expressing one's point of view on something."""
49,voter.n.01,шайлоочу,a citizen who has a legal right to vote,"1. ""A person who is eligible to vote, a participant in an election."""
50,freedom.n.01,эркиндик,the condition of being free; the power to act or speak or think without externally imposed restraints,"1. ""Freedom, independence, liberty, equality."""
51,death.n.02,өлүм,the permanent end of all life functions in an organism or part of an organism,"1. ""Death; the end of life, the end of existence."""
52,act.n.02,аракет,something that people do or cause to happen,"1. ""A movement, action, trick, preparation, care made to do something."""
53,vote.n.01,добуш,a choice that is made by counting the number of people in favor of each alternative,"2. ""The right of people to express their opinions, thoughts, and to agree or disagree with a certain proposal when solving various issues of state and public institutions, and during elections, and the form in which such opinions are expressed through a show of hands, balloting, etc."""
54,district.n.01,аймак,a region marked off for administrative or other purposes,"1. ""Land, territory, country."""
55,custom.n.02,салт,a specific practice of long standing,"1. ""A social, traditional, and universal custom, custom; tradition."""
56,hour.n.01,саат,a period of time equal to 1/24th of a day,"3. ""A time equal to 60 minutes."""
57,technology.n.01,технология,the practical application of science to commerce or industry,"1. ""A set of processes for processing materials and products in a particular industry; a set of knowledge about such methods and methods of production."""
58,economy.n.01,экономика,the system of production and distribution and consumption,"1. ""The general set of production relations that correspond to the development of a particular social structure and the productive forces in society."""
59,school.n.03,мектеп,the process of being formally educated at a school,"1. ""An educational institution that provides education and training to young people."""
60,aid.n.02,жардам,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose,"1. ""Help, support."""
61,family.n.01,үй,a social unit living together,-1. Нет верного варианта
62,boundary_line.n.01,чек,a line that indicates a boundary,"1. ""A line, strip, or boundary that separates adjacent states or any land holdings from each other territorially."""
63,sex.n.02,жыныс,either of the two categories (male or female) into which most organisms are divided,"1. ""The division of man and animals into male and female, and the general characteristics of such division."""
64,peace.n.02,тынчтык,harmonious relations; freedom from disputes,"1. ""Silence, the absence of noise; peace, a peaceful state without war, living in peace without conflict."""
65,network.n.01,тармак,an interconnected system of things or people,-1. Нет верного варианта
66,interest.n.01,кызыкчылык,a sense of concern with and curiosity about someone or something,-1. Нет верного варианта
67,structure.n.01,түзүлүш,a thing constructed; a complex entity constructed of many parts,"1. ""The system of formation, the way of union, the way."""
68,tax.n.01,салык,charge against a citizen's person or property or activity for the support of government,"1. ""A mandatory tax paid by the people to representatives of the ruling class."""
69,doubt.n.02,суроо,uncertainty about the truth or factuality or existence of something,"4. ""Uncertainty, unresolved."""
70,month.n.02,ай,a time unit of approximately 30 days,"2. ""A period representing one-twelfth of a year."""
71,doctor.n.01,дарыгер,a licensed medical practitioner,"1. ""Apothecary; a healer, a doctor."""
72,number.n.01,сан,the property possessed by a sum or total or indefinite quantity of units or individuals,"2. ""A concept used to calculate, to count, to show how much something is."""
73,group.n.01,топ,any number of entities (members) considered as a unit,"3. ""A group of people, animals, plants, and other miscellaneous things that live close to or together."""
74,program.n.02,программа,a system of projects or services intended to meet a public need,"2. ""A statement of the basic principles, tasks, and goals established by a political party, a central body of state power, a public organization, or a state or public enterprise."""
75,science.n.01,илим,a particular branch of scientific knowledge,"1. ""A system of knowledge and information that reveals the laws and regulations in the development of society and nature and the ways to influence the environment, and its individual branches."""
76,court.n.01,сот,an assembly (including one or more judges) to conduct judicial business,"1. ""A government body that resolves civil conflicts, disputes, and hears various criminal cases."""
77,quality.n.02,сапат,a degree or grade of excellence or worth,"1. ""A property that shows the good side, advantage, necessity, and ability of something to meet a given requirement."""
78,wage.n.01,эмгек акы,something that remunerates,"1. ""Money, salary, paid according to the work done."""
79,lawyer.n.01,адвокат,a professional person authorized to practice law; conducts lawsuits or gives legal advice,"1. ""A lawyer who defends a defendant in court, who conducts someone's legal affairs, and who provides advice on legal matters; a defense attorney."""
80,boundary_line.n.01,чек ара,a line that indicates a boundary,"1. ""A line, strip, or boundary that separates adjacent states or any land holdings from each other territorially."""
81,state.n.03,мамлекет,the group of people comprising the government of a sovereign state,"1. ""The political organization of the ruling class in a country, whose goal is to maintain its dominant power and suppress the opposition of other classes, and the country in which such a political organization exists."""
82,branch.n.01,бутак,a division of some larger or more complex organization,-1. Нет верного варианта
83,section.n.01,бөлүм,a self-contained part of a larger composition (written or musical),"2. ""The main major parts of a work, book, etc."""
84,republic.n.02,республика,a form of government whose head of state is not a monarch,"1. ""A state is a form of government in which the highest authorities are elected for a specific term, and a country or state has this form of government."""
85,culture.n.02,маданият,the tastes in art and manners that are favored by a social group,"1. ""The sum of human achievements in terms of industrial, social, and intellectual knowledge."""
86,hero.n.01,баатыр,a man distinguished by exceptional courage and nobility and strength,"1. ""A man, a hero, a heart."""
87,defense.n.01,коргонуу,(military) military action or resources protecting a country against potential enemies,"1. ""A system of political, economic, military, social, legal, etc. measures to ensure readiness to defend the state from armed attack or to protect the population, territory, and sovereignty of the Kyrgyz Republic."""
88,authority.n.02,бийлик,(usually plural) persons who exercise (administrative) control over others,"1. ""The right to govern the state, political dominance."""
89,liberty.n.03,эркиндик,personal freedom from servitude or confinement or oppression,"1. ""Freedom, independence, liberty, equality."""
90,president.n.01,президент,an executive officer of a firm or corporation,-1. Нет верного варианта
91,corruptness.n.02,коррупция,lack of integrity or honesty (especially susceptibility to bribery); use of a position of trust for dishonest gain,"1. ""Abuse of an employee's rights for personal gain, bribery, or bribery."""
92,organization.n.01,уюм,a group of people who work together,"1. ""Public association or government institution."""
93,relationship.n.03,байланыш,a state involving mutual dealings between people or parties or countries,"1. ""Relationships, interactions between people, teams."""
94,family.n.02,үй,primary social group; parents and children,-1. Нет верного варианта
95,degree.n.01,деңгээл,a position on a scale of intensity or amount or quality,"2. ""Level."""
96,marriage.n.01,нике,the state of being a married couple voluntarily joined for life (or until divorce),"1. ""The act of marriage; the rite of marriage."""
97,election.n.01,шайлоо,a vote to select the winner of a position or political office,"1. ""A method of appointing or approving candidates to a position of deputy or other office by placing them under the vote of the majority (voters)."""
98,man.n.01,эркек,an adult person who is male (as opposed to a woman),"1. ""The masculine gender of a person, animal, etc."""
99,religion.n.01,дин,a strong belief in a supernatural power or powers that control human destiny,"1. ""A belief that affirms the existence of God, that the world was created and is governed by God, and that a specific system of rituals, rules, and regulations has been developed around this belief."""
100,territory.n.03,аймак,the geographical area under the jurisdiction of a sovereign state,"1. ""Land, territory, country."""
101,law.n.02,мыйзам,legal document setting forth rules governing a particular kind of activity,"1. ""Law"""
102,language.n.01,тил,a systematic means of communicating by the use of sounds or conventional symbols,"3. ""A system of phonetic and lexical-grammatical means that are a tool for communication and interaction in society."""
103,vegetation.n.01,өсүмдүк,all the plant life in a particular region or period,"1. ""An organism that grows in any location and produces organic matter by feeding on inorganic substances in the air and soil."""
104,state.n.04,мамлекет,a politically organized body of people under a single government,"1. ""The political organization of the ruling class in a country, whose goal is to maintain its dominant power and suppress the opposition of other classes, and the country in which such a political organization exists."""
105,mother.n.01,эне,a woman who has given birth to a child (also used as a term of address to your mother),"1. ""A mother, a woman who gives birth to and raises a child (in relation to her child)."""
106,plan.n.01,программа,a series of steps to be carried out or goals to be accomplished,"1. ""A rough plan of the work to be done."""
107,health.n.02,саламаттык,the general condition of body and mind,"1. ""Health."""
108,citizen.n.01,жаран,a native or naturalized member of a state or other political community,"2. ""A person who legally belongs to a particular state."""
109,law.n.01,мыйзам,the collection of rules imposed by authority,"1. ""Law"""
110,city.n.02,шаар,an incorporated administrative district established by state charter,"1. ""An administrative, industrial, commercial, and cultural center, a large settlement with a larger population than a village."""
111,condition.n.07,шарт,(usually plural) a statement of what is required as part of an agreement,"1. ""Requirement."""
112,land.n.01,жер,the land on which real estate is located,"4. ""A specific area, plot, used for arable land, pasture, etc."""
113,case.n.01,кайрылуу,an occurrence of something,"1. ""the emergence of something"""
114,status.n.01,абал,the relative position or standing of things or especially persons in a society,"1. ""Living conditions, work, daily life, etc., general conditions."""
115,marriage.n.02,нике,two people who are married to each other,"1. ""The act of marriage; the rite of marriage."""
116,damage.n.01,зыян,the occurrence of a change for the worse,"1. ""The consequence, damage, disruption, loss, etc. caused by something or an action, the adverse effect."""
117,speech.n.02,сөз,(language) communication by word of mouth,"2. ""Speech, speech."""
118,war.n.01,согуш,the waging of armed conflict against an enemy,"1. ""An armed struggle or conflict between states, individual peoples, or tribes."""
119,forest.n.02,токой,land that is covered with trees and shrubs,"1. ""A large area with many trees, bushes, and thick vegetation."""
120,life.n.01,турмуш,a characteristic state or mode of living,"1. ""Living conditions. Daily life."""
121,information.n.02,маалымат,knowledge acquired through study or experience or instruction,"2. ""A collection of collected, received news, accumulated news, and messages."""
122,orphan.n.01,жетим,a child who has lost both parents,"1. ""A child or young animal whose parents or one of them has died."""
123,title.n.06,баш,an identifying appellation signifying status or function: e.g. `Mr.' or `General',-1. Нет верного варианта
124,information.n.01,маалымат,a message received and understood,"2. ""A collection of collected, received news, accumulated news, and messages."""
125,calamity.n.01,кырсык,an event resulting in great loss and misfortune,"1. ""Unexpected misfortune and trouble."""
126,year.n.01,жыл,a period of time containing 365 (or 366) days,"2. ""A period of twelve months counted from a specific date."""
127,liberty.n.02,эркиндик,freedom of choice,"1. ""Freedom, independence, liberty, equality."""
128,development.n.02,өнүгүү,a process in which something passes by degrees to a different stage (especially a more advanced or mature stage),"1. ""the process of something gradually moving to another (especially advanced or mature) stage"""
129,day.n.03,күн,a day assigned to a particular purpose or observance,"6. ""A calendar date, a specific number of the month; a date dedicated to some event."""
130,animation.n.01,өмүр,the condition of living or the state of being alive,"1. ""The physiological state of a human, animal, and plant from birth to death."""
131,education.n.01,билим берүү,the activities of educating or instructing; activities that impart knowledge or skill,"1. ""The process of imparting and acquiring systematic scientific knowledge."""
132,security.n.01,коопсуздук,the state of being free from danger or injury,"1. ""Fearlessness, lack of doubt, lack of suspicion. Not being afraid, not being dangerous."""
133,occupation.n.01,иш,the principal activity in your life that you do to earn money,"1. ""Work, laborious work; creative work."""
134,woman.n.01,аял,an adult female person (as opposed to a man),"1. ""A man's wife is the opposite of men in terms of gender."""
135,war.n.02,согуш,a legal state created by a declaration of war and ended by official declaration during which the international rules of war apply,"1. ""An armed struggle or conflict between states, individual peoples, or tribes."""
136,citizenship.n.01,жарандык,the status of a citizen with rights and duties,"1. ""The state of belonging to a particular country as a citizen."""
137,som.n.02,сом,the basic unit of money in Kyrgyzstan,"1. ""A unit of currency equal to one hundred coins and a symbol indicating the value of money or coins."""
138,defense.n.02,коргоо,protection from harm,-1. Нет верного варианта
139,child.n.02,бала,a human offspring (son or daughter) of any age,"1. ""A young boy or girl who has not yet reached puberty; generally a boy or girl (in relation to their parents)."""
140,address.n.03,сөз,the act of delivering a formal spoken communication to an audience,"2. ""Speech, speech."""
141,thought.n.03,ой,the organized beliefs of a period or group or individual,"2. ""A product of thought, an opinion."""
142,sake.n.01,кызыкчылык,a reason for wanting something done,"2. ""A goal that aims at someone's benefit or a specific benefit."""
143,land.n.04,жер,the solid part of the earth's surface,"3. ""The upper surface, upper layer of our planet; soil, soil."""
144,society.n.01,коом,an extended social group having a distinctive cultural and economic organization,"3. ""A circle of people who have certain things in common, such as their origin, social status, interests, etc."""
145,platform.n.02,программа,a document stating the aims and principles of a political party,"2. ""A statement of the basic principles, tasks, and goals established by a political party, a central body of state power, a public organization, or a state or public enterprise."""
146,party.n.01,партия,an organization to gain political power,"1. ""A political organization that is the highest organized form of a class, constitutes a more active part of that class, defends its interests and leads its struggle against hostile classes."""
147,Нет верного варианта,фракция,Нет верного варианта,-1. Нет верного варианта
